"Crop","L_ini","L_dev","L_mid","L_late","Kc_ini","Kc_mid","Kc_end","rd_irr","rd_rain","p_std"
"Wheat",0.15,0.25,0.4,0.2,0.4,1.15,0.3,1.25,1.6,0.55
"Maize",0.17,0.28,0.33,0.22,0.3,1.2,0.4,1,1.6,0.55
"Rice",0.17,0.18,0.44,0.21,1.05,1.2,0.75,0.5,1,0
"Barley",0.15,0.25,0.4,0.2,0.3,1.15,0.25,1,1.5,0.55
"Rye",0.1,0.6,0.2,0.1,0.4,1.15,0.3,1.25,1.6,0.55
"Millet",0.14,0.22,0.4,0.24,0.3,1,0.3,1,1.8,0.55
"Sorghum",0.15,0.28,0.33,0.24,0.3,1.1,0.55,1,1.8,0.55
"Soybean",0.15,0.2,0.45,0.2,0.4,1.15,0.5,0.6,1.3,0.5
"Sunflower",0.19,0.27,0.35,0.19,0.35,1.1,0.25,0.8,1.5,0.45
"Potatoes",0.2,0.25,0.35,0.2,0.35,1.15,0.5,0.4,0.6,0.35
"Cassava",0.1,0.2,0.43,0.27,0.3,0.95,0.4,0.6,0.9,0.35
"Sugar_cane",0,0,1,0,0.9,0.9,0.9,1.2,1.8,0.65
"Sugar_beet",0.2,0.25,0.35,0.2,0.35,1.2,0.8,0.7,1.2,0.55
"Oil_palm",0,0,1,0,1,1,1,0.7,1.1,0.65
"Rapeseed",0.3,0.25,0.3,0.15,0.35,1.1,0.35,1,1.5,0.6
"Groundnut",0.22,0.28,0.3,0.2,0.4,1.15,0.6,0.5,1,0.5
"Pulses",0.18,0.27,0.35,0.2,0.45,1.1,0.6,0.55,0.85,0.45
"Citrus",0,0,1,0,0.8,0.8,0.8,1,1.3,0.5
"Date_palm",0,0,1,0,0.95,0.95,0.95,1.5,2.2,0.5
"Grapes",0.3,0.14,0.2,0.36,0.3,0.8,0.3,1,1.8,0.4
"Cotton",0.17,0.33,0.25,0.25,0.35,1.18,0.6,1,1.5,0.65
"Cocoa",0,0,1,0,1.05,1.05,1.05,0.7,1,0.3
"Coffee",0,0,1,0,1,1,1,0.9,1.5,0.4
"Other_perennial",0,0,1,0,0.8,0.8,0.8,0.8,1.2,0.5
"Managed_grassland",0,0,1,0,1,1,1,1,1.5,0.55
"Other_annual",0.15,0.25,0.4,0.2,0.4,1.05,0.5,1,1.5,0.55
